tabuLength,iter,neighbourhood,cost
3550,3093,0.630678,46137.3
449,696,0.71364,43105.7
629,166,0.710596,48813.7
565,3535,0.218373,73858
3003,455,0.0316688,105605
3158,265,0.334914,72262
3173,2758,0.260785,69659.3
2442,2419,0.889776,40916.3
1859,1680,0.0559669,111298
2636,4140,0.577826,59071
4696,4504,0.841935,38775.3
165,4902,0.275677,60671.7
1726,1467,0.484381,50027.3
2839,401,0.610868,49079
452,936,0.891248,49223.7
1683,1350,0.905756,46898.7
3453,195,0.986422,39337.7
4139,3890,0.0137246,101511
4503,2335,0.673247,50014
4698,4859,0.469825,52805.7
900,2723,0.0514593,93809
1305,2535,0.392453,64924.3
2560,4533,0.202607,82050
2835,469,0.726993,48914
3232,2330,0.12238,86656.7
4481,1850,0.187849,84499.7
4021,1903,0.313167,79449
2169,4257,0.462322,67185
4481,1445,0.714838,43348
1854,1114,0.174637,72523.3
378,2766,0.460432,60202
392,4399,0.769135,45291
891,1006,0.898561,41347
2140,2659,0.276846,70687
183,1401,0.176093,83444.7
2391,1479,0.358143,55436
4442,3215,0.603695,62985.7
1295,2223,0.336549,68773
2746,3965,0.751151,48171.3
3510,3768,0.25639,67313.3
1047,514,0.237506,59843.3
1208,3744,0.0244833,111588
1548,3900,0.95481,43524.3
2065,4694,0.371603,59385.3
577,4925,0.771068,40508
3264,4051,0.326438,58710.7
3431,4700,0.443714,58536
3297,869,0.752171,47875.7
4925,948,0.673672,45605
378,2229,0.520689,51897.7
4237,2008,0.212637,59221.3
3627,3461,0.485002,50271
1091,4831,0.526859,54910.7
4377,1599,0.940021,44716.7
1689,1416,0.41114,47078
3879,2284,0.0389568,101126
2098,1961,0.903847,39588.3
2950,2804,0.876218,36861.3
1685,3459,0.519207,48561.3
1297,2405,0.334244,51753.3
2685,3797,0.749725,42470.7
3850,4487,0.917216,41796
4276,839,0.354214,67997.3
2432,4431,0.626116,46089.7
4144,3628,0.161431,75355.3
1554,4197,0.101093,101892
1351,2299,0.442794,52650.3
4561,633,0.554615,51353.7
742,3912,0.669699,54315.7
3057,4662,0.131435,96709.3
2167,1318,0.369419,60854
3098,1049,0.60538,47780.7
766,1961,0.519192,54943
2882,1460,0.896905,44997
4810,1587,0.986588,43710.7
1582,793,0.47882,53336.3
896,3864,0.769203,40794.7
3638,3587,0.36535,70063
133,3440,0.0470871,94549.7
2510,2863,0.435245,56565.3
3844,2367,0.719446,51788
1167,4621,0.228077,86920.7
4861,2302,0.878239,40753
3528,559,0.939637,38615.3
1540,1867,0.418364,50312.3
4176,2845,0.0726857,89084
3429,663,0.156407,81107
2621,3291,0.534108,47702.7
2378,1498,0.893569,41147.7
380,2365,0.380855,54938
1881,4732,0.0797423,97777
3836,418,0.528711,40617.3
3523,1433,0.572336,46489.3
4737,3216,0.791147,44352.7
520,3162,0.423098,62994.3
2655,1911,0.588963,43886
1855,1813,0.0256026,117265
965,2049,0.0559772,106938
4487,4371,0.254165,62058
4825,4108,0.372656,69463.7
585,1216,0.937534,44264
4459,4634,0.163351,80157
889,2494,0.0425494,107425
2084,1939,0.945121,43033.3
262,1855,0.466156,52652.7
1791,1816,0.803186,37267.3
76,1470,0.797061,46120
872,2108,0.0851699,102132
1260,4588,0.295083,67027.3
4350,4192,0.392652,61761
663,4077,0.786583,40961.3
1042,710,0.213117,92249
1127,449,0.157732,85565
886,853,0.344041,63155.7
3509,1989,0.178288,64108.7
2990,176,0.5206,47865.7
4317,1406,0.155102,70965.3
411,384,0.0896465,98686
2617,781,0.406765,53996.7
941,2346,0.758593,43061
1513,3335,0.218636,66157.7
1041,167,0.285528,64183.3
2288,4421,0.449846,52535
4371,3594,0.539497,46521.7
3770,2610,0.67292,45162
4593,395,0.398535,57296
4822,4488,0.281108,63005
3713,534,0.827723,46916.3
3283,1497,0.837061,38706.7
1414,1887,0.52142,46835.3
4588,323,0.453016,48188.3
4614,1913,0.301315,60439.7
2888,3171,0.212667,74127
