temp,cooling,epochs,steps,cost
3546.48,0.86145,926,4.56096,108043
2619.76,0.890174,353,7.67854,110116
6525.21,0.861242,645,5.10414,107988
3416.32,0.859181,991,8.11683,106043
3416.48,0.930371,971,0.449175,150168
2997.63,0.969707,872,0.915651,126623
1270.97,0.940065,253,0.993598,186086
7822.65,0.887837,165,3.77709,137955
2309.61,0.898696,82,2.78679,212614
5059.31,0.972805,457,8.8837,105940
6226.09,0.892108,26,1.19141,824740
276.884,0.852745,858,6.12176,107332
3950.96,0.966426,560,7.67962,107879
8496.82,0.865708,174,4.88674,126873
8987.93,0.94476,913,6.30704,107670
3443.4,0.852208,48,7.96063,181485
999.278,0.9807,95,7.18834,276358
9642.79,0.968483,450,3.3418,117578
8956.05,0.972075,228,2.52598,180263
6931.14,0.991475,340,6.24177,490348
2837.22,0.992593,294,9.21586,420227
9731.08,0.875401,12,3.68345,1.64996e+06
3242.22,0.885311,662,5.76869,107405
7140.28,0.983924,962,1.37706,118771
4554.1,0.86016,328,8.62768,108998
201.582,0.957269,810,1.41233,117837
4979.87,0.892907,802,6.4668,107531
5547.74,0.987359,64,7.55039,1.65979e+06
7108.4,0.940215,922,1.43683,113901
5612.73,0.889417,308,2.02636,137717
9619.88,0.962905,110,9.19431,289304
5720.48,0.983841,749,3.4415,109516
4426.58,0.866152,802,0.956436,126351
6070.06,0.987,273,3.97881,302475
8405.8,0.929732,655,8.20612,108335
9046.33,0.954771,946,8.44526,107276
638.356,0.920766,35,1.77713,367409
6775.06,0.979069,190,7.97371,244971
2096.7,0.947239,238,2.92664,133755
9894.41,0.928703,301,2.37998,134785
244.392,0.926335,144,7.77473,118466
3248.79,0.850554,237,8.84673,108803
6353.97,0.936298,350,3.77077,116459
2065.9,0.945327,789,9.75423,107435
5920.14,0.903294,768,2.48299,110243
8663.01,0.927149,403,2.69014,118472
7722.08,0.909526,662,5.07789,107215
3417.06,0.892211,968,8.15762,107011
7453.82,0.974205,374,2.18974,137534
5577.09,0.990663,203,4.48438,921493
810.76,0.87266,759,3.56517,107267
4433.22,0.931712,473,9.53724,107142
602.96,0.926204,397,4.29573,111885
7546.73,0.855656,660,9.69795,107780
9455.7,0.879859,48,6.50656,232352
2250.86,0.960575,224,4.48514,125460
8014.96,0.95286,917,0.917605,124903
9147.95,0.936579,845,3.69416,107192
2980.9,0.974805,673,5.62454,106781
2800.59,0.990627,835,4.95261,105733
3998.25,0.953867,860,7.39218,107370
1138.33,0.873226,694,6.75265,106754
9004.88,0.920138,358,1.82573,136400
9563.14,0.954754,356,8.01561,108280
6108.09,0.932486,104,3.85042,189366
6738.59,0.945755,950,4.47587,106961
1937.68,0.937832,146,6.36454,129319
7024.64,0.945443,262,3.02706,132873
5152.32,0.882592,407,7.86628,109119
9706.59,0.893616,343,7.14006,108574
9329.24,0.992617,60,6.27036,1.96988e+06
7967.82,0.936497,390,8.80524,107361
1954.26,0.975596,435,3.19556,116879
6959.96,0.937812,194,0.536971,290036
2085.15,0.854286,691,2.19573,112295
3428.21,0.919054,550,1.69163,123466
5069.96,0.962313,401,3.82875,113858
6158.11,0.967124,179,5.67455,157004
8284.61,0.907695,397,2.67053,120003
727.533,0.911344,142,0.854595,248362
8204.15,0.909462,241,8.77422,109761
654.57,0.894383,822,2.14863,112145
3937.65,0.986629,914,5.65221,106464
